ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_013556,262,0.33,0.24,256,0.0,1,2,3288,0.0,-1,3,-1,3,-1
20171018_013556,263,0.4,0.22,256,0.0,1,0,3296,0.0,-1,3,-1,3,-1
20171018_013556,264,0.4,0.22,256,0.0,1,3,3296,0.0,-1,3,-1,3,-1
20171018_013556,265,0.4,0.2,256,0.0,1,0,3304,0.0,-1,3,-1,3,-1
20171018_013556,266,0.4,0.1,256,0.0,1,3,3312,0.0,-1,3,-1,3,-1
20171018_013556,267,0.53,0.1,256,0.0,1,0,3328,0.0,-1,3,-1,3,-1
20171018_013556,268,0.6,0.17,256,0.0,1,2,3360,0.14,-1,3,-1,3,-1
20171018_013556,269,0.67,0.22,512,0.0,1,2,3556,0.0,-1,3,-1,3,-1
20171018_013556,270,0.6,0.22,512,0.0,1,2,3820,0.0,-1,3,-1,3,-1
20171018_013556,271,0.53,0.24,512,0.0,1,2,4336,0.0,-1,3,-1,3,-1
20171018_013556,272,0.6,0.32,512,0.0,1,0,4336,0.0,-1,3,-1,3,-1
20171018_013556,273,0.53,0.24,512,0.0,1,3,4336,0.0,-1,3,-1,3,-1
20171018_013556,274,0.53,0.24,512,0.0,1,0,4348,0.14,-1,3,-1,3,-1
20171018_013556,275,0.6,0.2,512,0.0,1,3,4348,0.14,-1,3,-1,3,-1
20171018_013556,276,0.6,0.27,512,0.0,1,2,4352,0.0,-1,3,-1,3,-1
20171018_013556,277,0.53,0.32,512,0.0,1,3,4364,0.0,-1,3,-1,3,-1
20171018_013556,278,0.47,0.29,512,0.0,1,2,4380,0.0,-1,3,-1,3,-1
20171018_013556,279,0.4,0.29,512,0.0,1,2,4380,0.0,-1,3,-1,3,-1
20171018_013556,280,0.4,0.32,512,0.0,1,3,4380,0.0,-1,3,-1,3,-1
20171018_013556,281,0.33,0.27,512,0.0,1,2,4380,0.0,-1,3,-1,3,-1
20171018_013556,282,0.27,0.22,512,0.0,1,2,4384,0.0,-1,3,-1,3,-1
20171018_013556,283,0.27,0.24,512,0.0,1,2,4384,0.14,-1,3,-1,3,-1
20171018_013556,284,0.33,0.34,512,0.0,1,0,4384,0.0,-1,3,-1,3,-1
